State,City,Destination Name,Destination Type,Climate,Main Activities Available,Best Season to Visit,Least cost per day in Naira,Nearby Hotel,Hotel Price Range (in Naira),Accessibility,Safety Rating,Accommodation Type,Hotel Price Range (Naira),Feeding Cost Range (Naira),Other Necessities Range (Naira)
Abia,Arochukwu,Azumini Blue River,Nature,Tropical monsoon,"Swimming, Boating, Hiking",Dry season (Nov-Mar),12000,Arochukwu Travel Lodge,"5,000-15,000",Moderate,5,Lodge,"4,800 - 6,000","2,400 - 3,600","2,400 - 3,600"
Adamawa,Mubi,Sukur Cultural Landscape,Cultural,Tropical savanna,"Hiking, Cultural tours",Dry season (Nov-Feb),10000,Lohia Hotel Mubi,"8,000-20,000",Hard,4,Hotel,"4,000 - 5,000","2,000 - 3,000","2,000 - 3,000"
Akwa Ibom,Uyo,Ibom Tropicana Entertainment Centre,Urban Leisure,Tropical monsoon,"Waterpark, Dining, Events",Dry season (Dec-Feb),20000,Hotel Montane Uyo,"15,000-40,000",Easy,6,Hotel,"8,000 - 10,000","4,000 - 6,000","4,000 - 6,000"
Anambra,Onitsha,Ogbunike Caves,Nature,Tropical rainforest,"Cave exploration, Nature walk",Dry season (Nov-Feb),8000,Spice Gateway Hotel Onitsha,"10,000-20,000",Moderate,5,Hotel,"3,200 - 4,000","1,600 - 2,400","1,600 - 2,400"
Bauchi,Bauchi,Yankari National Park,Nature,Semi-arid,"Wildlife safari, Hot springs",Dry season (Nov-Feb),8000,Wikki Camp (Yankari Park),"2,000-5,000",Moderate,4,Lodge,"3,200 - 4,000","1,600 - 2,400","1,600 - 2,400"
Bayelsa,Oloibiri,Oloibiri Oil Well (Museum),Historical,Tropical rainforest,"Museum tours, River boat ride",Dry season (Dec-Feb),10000,Elinor Hotel Yenagoa,"20,000-50,000",Hard,4,Hotel,"4,000 - 5,000","2,000 - 3,000","2,000 - 3,000"
Benue,Makurdi,River Benue Cruise,Nature,Tropical savanna,"Boat cruise, Fishing",Dry season (Nov-Feb),15000,Gateway Hotel Makurdi,"10,000-20,000",Easy,5,Hotel,"6,000 - 7,500","3,000 - 4,500","3,000 - 4,500"
Borno,Maiduguri,Maiduguri National Museum,Cultural,Semi-arid,"Museum tours, Cultural exhibits",Dry season (Nov-Feb),10000,Dujima Palace Hotel,"5,000-15,000",Moderate,3,Hotel,"4,000 - 5,000","2,000 - 3,000","2,000 - 3,000"
Cross River,Obudu,Obudu Mountain Resort,Nature,Tropical highland,"Hiking, Cable car, Wildlife viewing",Dry season (Dec-Feb),25000,Obudu Mountain Resort Hotel,"30,000-60,000",Moderate,5,Resort,"10,000 - 12,500","5,000 - 7,500","5,000 - 7,500"
Delta,Abraka,Abraka Crocodile Pond,Nature,Tropical rainforest,"Boating, Picnic, Wildlife viewing",Dry season (Nov-Feb),12000,Abraka Resort Hotel,"8,000-15,000",Easy,4,Resort,"4,800 - 6,000","2,400 - 3,600","2,400 - 3,600"
Ebonyi,Abakaliki,Ivory Falls,Nature,Tropical rainforest,"Waterfall viewing, Boating, Hiking",Post-rainy (Oct-Nov),8000,Ivory Arch Hotel,"5,000-10,000",Moderate,5,Hotel,"3,200 - 4,000","1,600 - 2,400","1,600 - 2,400"
Edo,Benin City,Benin City Walls and Moat,Historical,Tropical rainforest,"Historical tours, Museum visits",Dry season (Nov-Feb),15000,Best Western Ivdel Benin City,"15,000-30,000",Easy,5,Hotel,"6,000 - 7,500","3,000 - 4,500","3,000 - 4,500"
