"State","City","Destination Name","Destination Type","Climate","Main Activities Available","Best Season to Visit","Estimated Average Cost Per Day in Naira","Nearby Hotel","Hotel Price Range (in Naira)","Accessibility","Safety Rating","Accommodation Type"
"Abia","Arochukwu","Azumini Blue River","Nature","Tropical monsoon","Swimming, Boating, Hiking","Dry season (Nov-Mar)","12000","Arochukwu Travel Lodge","5,000-15,000","Moderate","5","Lodge"
"Adamawa","Mubi","Sukur Cultural Landscape","Cultural","Tropical savanna","Hiking, Cultural tours","Dry season (Nov-Feb)","10000","Lohia Hotel Mubi","8,000-20,000","Hard","4","Hotel"
"Akwa Ibom","Uyo","Ibom Tropicana Entertainment Centre","Urban Leisure","Tropical monsoon","Waterpark, Dining, Events","Dry season (Dec-Feb)","20000","Hotel Montane Uyo","15,000-40,000","Easy","6","Hotel"
"Anambra","Onitsha","Ogbunike Caves","Nature","Tropical rainforest","Cave exploration, Nature walk","Dry season (Nov-Feb)","8000","Spice Gateway Hotel Onitsha","10,000-20,000","Moderate","5","Hotel"
"Bauchi","Bauchi","Yankari National Park","Nature","Semi-arid","Wildlife safari, Hot springs","Dry season (Nov-Feb)","8000","Wikki Camp (Yankari Park)","2,000-5,000","Moderate","4","Lodge"
"Bayelsa","Oloibiri","Oloibiri Oil Well (Museum)","Historical","Tropical rainforest","Museum tours, River boat ride","Dry season (Dec-Feb)","10000","Elinor Hotel Yenagoa","20,000-50,000","Hard","4","Hotel"
"Benue","Makurdi","River Benue Cruise","Nature","Tropical savanna","Boat cruise, Fishing","Dry season (Nov-Feb)","15000","Gateway Hotel Makurdi","10,000-20,000","Easy","5","Hotel"
"Borno","Maiduguri","Maiduguri National Museum","Cultural","Semi-arid","Museum tours, Cultural exhibits","Dry season (Nov-Feb)","10000","Dujima Palace Hotel","5,000-15,000","Moderate","3","Hotel"
"Cross River","Obudu","Obudu Mountain Resort","Nature","Tropical highland","Hiking, Cable car, Wildlife viewing","Dry season (Dec-Feb)","25000","Obudu Mountain Resort Hotel","30,000-60,000","Moderate","5","Resort"
"Delta","Abraka","Abraka Crocodile Pond","Nature","Tropical rainforest","Boating, Picnic, Wildlife viewing","Dry season (Nov-Feb)","12000","Abraka Resort Hotel","8,000-15,000","Easy","4","Resort"
"Ebonyi","Abakaliki","Ivory Falls","Nature","Tropical rainforest","Waterfall viewing, Boating, Hiking","Post-rainy (Oct-Nov)","8000","Ivory Arch Hotel","5,000-10,000","Moderate","5","Hotel"
"Edo","Benin City","Benin City Walls and Moat","Historical","Tropical rainforest","Historical tours, Museum visits","Dry season (Nov-Feb)","15000","Best Western Ivdel Benin City","15,000-30,000","Easy","5","Hotel"
"Ekiti","Ikogosi","Ikogosi Warm Springs","Nature","Tropical rainforest","Swimming, Spa","Post-rainy (Jul-Oct)","15000","Ikogosi Warm Springs Resort","10,000-20,000","Easy","6","Resort"
"Enugu","Enugu","Ngwo Pine Forest and Cave","Nature","Tropical rainforest","Hiking, Cave exploration","Dry season (Nov-Feb)","10000","Paragon Hotels Enugu","8,000-15,000","Easy","6","Hotel"
"Gombe","Gombe","Gombe State Zoo","Nature","Tropical savanna","Animal viewing, Picnicking","Dry season (Nov-Feb)","10000","Eden Rock Lodge & Resort","8,000-15,000","Moderate","5","Resort"
"Imo","Owerri","Oguta Lake","Nature","Tropical rainforest","Boating, Fishing","Dry season (Nov-Feb)","10000","Jerusalem Hotel Owerri","7,000-12,000","Easy","6","Hotel"
